Device name,Managed by,Ownership,Compliance,OS,OS version,Primary user UPN,Primary user display name,IP Address,MAC Address,Last check-in,Serial number,Manufacturer,Model,Intune Device ID,Category,Encrypted
BL-PC-012,MDM,Corporate,Compliant,Windows,10.0.26100.1742,grace.walsh@example-care.org,Grace Walsh,10.21.10.107,30:f6:03:f4:ac:64,2026-08-31T03:42:17Z,L5TA711012,Microsoft Corporation,Surface Laptop 5,a001012-3f2b-4c1d-9e8a-000000007084,Staff device,Yes
BL-PC-013,MDM,Corporate,Compliant,Windows,10.0.26100.1742,christopher.kaur@example-care.org,Christopher Kaur,10.21.10.162,30:f6:03:f5:b3:71,2026-08-31T12:42:17Z,H20PGW1013,HP,EliteBook 640 G10,a001013-3f2b-4c1d-9e8a-000000007091,Staff device,Yes
CC-PC-014,MDM,Corporate,Compliant,Windows,10.0.26100.1742,peter.mensah@example-care.org,Peter Mensah,10.22.10.113,30:f6:03:f6:ba:7e,2026-08-26T17:42:17Z,H3P3781014,HP,EliteBook 640 G10,a001014-3f2b-4c1d-9e8a-000000007098,Staff device,Yes
CC-PC-015,MDM,Corporate,Compliant,Windows,10.0.26100.1742,emma.featherstonehaugh@example-care.org,Emma Featherstonehaugh,10.22.10.229,30:f6:03:f7:c1:8b,2026-08-25T09:42:17Z,L21K3W1015,Microsoft Corporation,Surface Laptop 5,a001015-3f2b-4c1d-9e8a-000000007105,Staff device,Yes
CC-PC-016,MDM,Corporate,Compliant,Windows,10.0.26100.1742,sarah.walsh@example-care.org,Sarah Walsh,10.22.10.219,30:f6:03:f8:c8:98,2026-08-26T14:42:17Z,LOAVS1016,Microsoft Corporation,Surface Laptop 5,a001016-3f2b-4c1d-9e8a-000000007112,Staff device,Yes
CC-PC-017,MDM,Corporate,Compliant,Windows,10.0.26100.1742,zoe.osemwegie@example-care.org,Zoe Osemwegie,10.22.10.82,30:f6:03:f9:cf:a5,2026-08-27T10:42:17Z,D5UQSM1017,Dell Inc.,Latitude 3540,a001017-3f2b-4c1d-9e8a-000000007119,Staff device,Yes
CC-PC-018,MDM,Corporate,Compliant,Windows,10.0.26100.1742,david.ellis@example-care.org,David Ellis,10.22.10.174,30:f6:03:fa:d6:b2,2026-08-24T09:42:17Z,L1IL7Z1018,LENOVO,ThinkPad L14 Gen 4,a001018-3f2b-4c1d-9e8a-000000007126,Staff device,Yes
CC-PC-019,MDM,Corporate,Compliant,Windows,10.0.26100.1742,zoe.osemwegie@example-care.org,Zoe Osemwegie,10.22.10.42,30:f6:03:fb:dd:bf,2026-08-27T04:42:17Z,D4GRLL1019,Dell Inc.,OptiPlex 7010,a001019-3f2b-4c1d-9e8a-000000007133,Staff device,Yes
CC-PC-020,MDM,Corporate,Compliant,Windows,10.0.26100.1742,sarah.thompson@example-care.org,Sarah Thompson,10.22.10.177,30:f6:03:fc:e4:cc,2026-08-21T07:42:17Z,L2LPA91020,LENOVO,ThinkPad L14 Gen 4,a001020-3f2b-4c1d-9e8a-000000007140,Staff device,Yes
CC-PC-021,MDM,Corporate,Compliant,Windows,10.0.26100.1742,emma.featherstonehaugh@example-care.org,Emma Featherstonehaugh,10.22.10.203,30:f6:03:fd:eb:d9,2026-08-27T06:42:17Z,H3RP0M1021,HP,EliteBook 640 G10,a001021-3f2b-4c1d-9e8a-000000007147,Staff device,Yes
CC-PC-022,MDM,Corporate,Compliant,Windows,10.0.26100.1742,tomasz.mensah@example-care.org,Tomasz Mensah,10.22.10.184,30:f6:03:fe:f2:e6,2026-08-29T04:42:17Z,DRS2C1022,Dell Inc.,Latitude 5440,a001022-3f2b-4c1d-9e8a-000000007154,Staff device,Yes
CC-PC-023,MDM,Corporate,Compliant,Windows,10.0.26100.1742,daniel.adeyemi@example-care.org,Daniel Adeyemi,10.22.10.220,30:f6:03:ff:f9:f3,2026-08-24T02:42:17Z,H4JACH1023,HP,ProDesk 400 G9,a001023-3f2b-4c1d-9e8a-000000007161,Staff device,Yes
CC-PC-024,MDM,Corporate,Compliant,Windows,10.0.26100.1742,callum.frost@example-care.org,Callum Frost,10.22.10.89,30:f6:04:00:00:00,2026-08-22T17:42:17Z,H11SUI1024,HP,EliteBook 640 G10,a001024-3f2b-4c1d-9e8a-000000007168,Staff device,Yes
CC-PC-025,MDM,Corporate,Compliant,Windows,10.0.26100.1742,liam.mensah@example-care.org,Liam Mensah,10.22.10.82,30:f6:04:01:07:0d,2026-08-21T17:42:17Z,H16R911025,HP,ProDesk 400 G9,a001025-3f2b-4c1d-9e8a-000000007175,Staff device,Yes
DM-PC-026,MDM,Corporate,Compliant,Windows,10.0.26100.1742,fatima.thompson@example-care.org,Fatima Thompson,10.23.10.82,30:f6:04:02:0e:1a,2026-08-29T00:42:17Z,L2HVBD1026,LENOVO,ThinkPad L14 Gen 4,a001026-3f2b-4c1d-9e8a-000000007182,Staff device,Yes
DM-PC-027,MDM,Corporate,Compliant,Windows,10.0.26100.1742,bartholomew.okafor@example-care.org,Bartholomew Okafor,10.23.10.229,30:f6:04:03:15:27,2026-08-25T11:42:17Z,L28EX71027,LENOVO,ThinkPad L14 Gen 4,a001027-3f2b-4c1d-9e8a-000000007189,Staff device,Yes
DM-PC-028,MDM,Corporate,Compliant,Windows,10.0.26100.1742,michael.ahmed@example-care.org,Michael Ahmed,10.23.10.197,30:f6:04:04:1c:34,2026-08-26T01:42:17Z,H3R8441028,HP,EliteBook 640 G10,a001028-3f2b-4c1d-9e8a-000000007196,Staff device,Yes
DM-PC-029,MDM,Corporate,Compliant,Windows,10.0.26100.1742,callum.frost@example-care.org,Callum Frost,10.23.10.190,30:f6:04:05:23:41,2026-08-22T03:42:17Z,L46E2D1029,LENOVO,ThinkPad L14 Gen 4,a001029-3f2b-4c1d-9e8a-000000007203,Staff device,Yes
DM-PC-030,MDM,Corporate,Compliant,Windows,10.0.26100.1742,zoe.hughes@example-care.org,Zoe Hughes,10.23.10.129,30:f6:04:06:2a:4e,2026-08-21T02:42:17Z,D4LDES1030,Dell Inc.,Latitude 3540,a001030-3f2b-4c1d-9e8a-000000007210,Staff device,Yes
DM-PC-031,MDM,Corporate,Compliant,Windows,10.0.26100.1742,sarah.walsh@example-care.org,Sarah Walsh,10.23.10.120,30:f6:04:07:31:5b,2026-08-25T17:42:17Z,D49IAN1031,Dell Inc.,Latitude 3540,a001031-3f2b-4c1d-9e8a-000000007217,Staff device,Yes
DM-PC-032,MDM,Corporate,Compliant,Windows,10.0.26100.1742,marcus.abernathy@example-care.org,Marcus Abernathy,10.23.10.35,30:f6:04:08:38:68,2026-08-31T18:42:17Z,D1T9F01032,Dell Inc.,Latitude 5440,a001032-3f2b-4c1d-9e8a-000000007224,Staff device,Yes
EH-PC-033,MDM,Corporate,Compliant,Windows,10.0.26100.1742,zoe.hughes@example-care.org,Zoe Hughes,10.24.10.130,30:f6:04:09:3f:75,2026-08-28T10:42:17Z,H1JJOQ1033,HP,ProDesk 400 G9,a001033-3f2b-4c1d-9e8a-000000007231,Staff device,Yes
EH-PC-034,MDM,Corporate,Compliant,Windows,10.0.26100.1742,david.kaur@example-care.org,David Kaur,10.24.10.159,30:f6:04:0a:46:82,2026-08-24T03:42:17Z,DVO6O1034,Dell Inc.,Latitude 3540,a001034-3f2b-4c1d-9e8a-000000007238,Staff device,Yes
EH-PC-035,MDM,Corporate,Compliant,Windows,10.0.26100.1742,zoe.doyle@example-care.org,Zoe Doyle,10.24.10.168,30:f6:04:0b:4d:8f,2026-08-24T19:42:17Z,H4P40Q1035,HP,EliteBook 640 G10,a001035-3f2b-4c1d-9e8a-000000007245,Staff device,Yes
EH-PC-036,MDM,Corporate,Compliant,Windows,10.0.26100.1742,hannah.osemwegie@example-care.org,Hannah Osemwegie,10.24.10.100,30:f6:04:0c:54:9c,2026-08-29T10:42:17Z,D5A4GR1036,Dell Inc.,Latitude 5440,a001036-3f2b-4c1d-9e8a-000000007252,Staff device,Yes
EH-PC-037,MDM,Corporate,Compliant,Windows,10.0.26100.1742,grace.hughes@example-care.org,Grace Hughes,10.24.10.108,30:f6:04:0d:5b:a9,2026-08-27T15:42:17Z,D18SKN1037,Dell Inc.,Latitude 3540,a001037-3f2b-4c1d-9e8a-000000007259,Staff device,Yes
EH-PC-038,MDM,Corporate,Compliant,Windows,10.0.26100.1742,christopher.adeyemi@example-care.org,Christopher Adeyemi,10.24.10.224,30:f6:04:0e:62:b6,2026-09-01T08:42:17Z,D417MX1038,Dell Inc.,Latitude 5440,a001038-3f2b-4c1d-9e8a-000000007266,Staff device,Yes
EH-PC-039,MDM,Corporate,Compliant,Windows,10.0.26100.1742,alexandra.chapman@example-care.org,Alexandra Chapman,10.24.10.210,30:f6:04:0f:69:c3,2026-08-24T11:42:17Z,H1A8W21039,HP,ProDesk 400 G9,a001039-3f2b-4c1d-9e8a-000000007273,Staff device,Yes
EH-PC-040,MDM,Corporate,Compliant,Windows,10.0.26100.1742,daniel.adeyemi@example-care.org,Daniel Adeyemi,10.24.10.138,30:f6:04:10:70:d0,2026-08-30T07:42:17Z,H5QACV1040,HP,ProDesk 400 G9,a001040-3f2b-4c1d-9e8a-000000007280,Staff device,Yes
EH-PC-041,MDM,Corporate,Compliant,Windows,10.0.26100.1742,leah.ahmed@example-care.org,Leah Ahmed,10.24.10.217,30:f6:04:11:77:dd,2026-08-29T07:42:17Z,L1P7VF1041,Microsoft Corporation,Surface Laptop 5,a001041-3f2b-4c1d-9e8a-000000007287,Staff device,Yes
EH-PC-042,MDM,Corporate,Compliant,Windows,10.0.26100.1742,zoe.osemwegie@example-care.org,Zoe Osemwegie,10.24.10.109,30:f6:04:12:7e:ea,2026-08-20T18:42:17Z,HW87T1042,HP,ProDesk 400 G9,a001042-3f2b-4c1d-9e8a-000000007294,Staff device,Yes
F-PC-043,MDM,Corporate,Compliant,Windows,10.0.26100.1742,zoe.doyle@example-care.org,Zoe Doyle,10.25.10.65,30:f6:04:13:85:f7,2026-08-31T05:42:17Z,H2YO3N1043,HP,ProDesk 400 G9,a001043-3f2b-4c1d-9e8a-000000007301,Staff device,Yes
F-PC-044,MDM,Corporate,Compliant,Windows,10.0.26100.1742,zoe.osemwegie@example-care.org,Zoe Osemwegie,10.25.10.212,30:f6:04:14:8c:04,2026-08-27T03:42:17Z,LW58E1044,LENOVO,ThinkPad L14 Gen 4,a001044-3f2b-4c1d-9e8a-000000007308,Staff device,Yes
F-PC-045,MDM,Corporate,Compliant,Windows,10.0.26100.1742,rachel.sinclair@example-care.org,Rachel Sinclair,10.25.10.184,30:f6:04:15:93:11,2026-08-29T19:42:17Z,D5QD1J1045,Dell Inc.,Latitude 5440,a001045-3f2b-4c1d-9e8a-000000007315,Staff device,Yes
F-PC-046,MDM,Corporate,Compliant,Windows,10.0.26100.1742,aisha.ahmed@example-care.org,Aisha Ahmed,10.25.10.161,30:f6:04:16:9a:1e,2026-08-20T06:42:17Z,H3UF4N1046,HP,EliteBook 640 G10,a001046-3f2b-4c1d-9e8a-000000007322,Staff device,Yes
F-PC-047,MDM,Corporate,Compliant,Windows,10.0.26100.1742,emma.featherstonehaugh@example-care.org,Emma Featherstonehaugh,10.25.10.205,30:f6:04:17:a1:2b,2026-08-25T12:42:17Z,L25CCQ1047,LENOVO,ThinkPad L14 Gen 4,a001047-3f2b-4c1d-9e8a-000000007329,Staff device,Yes
F-PC-048,MDM,Corporate,Compliant,Windows,10.0.26100.1742,rachel.okafor@example-care.org,Rachel Okafor,10.25.10.31,30:f6:04:18:a8:38,2026-08-22T00:42:17Z,L50DLI1048,LENOVO,ThinkPad L14 Gen 4,a001048-3f2b-4c1d-9e8a-000000007336,Staff device,Yes
F-PC-049,MDM,Corporate,Compliant,Windows,10.0.26100.1742,christopher.kaur@example-care.org,Christopher Kaur,10.25.10.92,30:f6:04:19:af:45,2026-08-25T16:42:17Z,LRFG01049,LENOVO,ThinkPad L14 Gen 4,a001049-3f2b-4c1d-9e8a-000000007343,Staff device,Yes
G-PC-050,MDM,Corporate,Compliant,Windows,10.0.26100.1742,chloe.nowak@example-care.org,Chloe Nowak,10.26.10.94,30:f6:04:1a:b6:52,2026-09-01T10:42:17Z,L2Q04H1050,LENOVO,ThinkPad L14 Gen 4,a001050-3f2b-4c1d-9e8a-000000007350,Staff device,Yes
G-PC-051,MDM,Corporate,Compliant,Windows,10.0.26100.1742,sarah.kaur@example-care.org,Sarah Kaur,10.26.10.49,30:f6:04:1b:bd:5f,2026-08-31T03:42:17Z,D1PEBG1051,Dell Inc.,Latitude 3540,a001051-3f2b-4c1d-9e8a-000000007357,Staff device,Yes
G-PC-052,MDM,Corporate,Compliant,Windows,10.0.26100.1742,michael.ahmed@example-care.org,Michael Ahmed,10.26.10.176,30:f6:04:1c:c4:6c,2026-09-01T16:42:17Z,D3XBCY1052,Dell Inc.,Latitude 5440,a001052-3f2b-4c1d-9e8a-000000007364,Staff device,Yes
G-PC-053,MDM,Corporate,Compliant,Windows,10.0.26100.1742,marcus.marsh@example-care.org,Marcus Marsh,10.26.10.93,30:f6:04:1d:cb:79,2026-08-21T15:42:17Z,H5X11I1053,HP,EliteBook 640 G10,a001053-3f2b-4c1d-9e8a-000000007371,Staff device,Yes
G-PC-054,MDM,Corporate,Compliant,Windows,10.0.26100.1742,grace.hughes@example-care.org,Grace Hughes,10.26.10.117,30:f6:04:1e:d2:86,2026-08-21T12:42:17Z,D5PU371054,Dell Inc.,Latitude 5440,a001054-3f2b-4c1d-9e8a-000000007378,Staff device,Yes
G-PC-055,MDM,Corporate,Compliant,Windows,10.0.26100.1742,rachel.sinclair@example-care.org,Rachel Sinclair,10.26.10.76,30:f6:04:1f:d9:93,2026-08-29T15:42:17Z,LX5981055,LENOVO,ThinkPad L14 Gen 4,a001055-3f2b-4c1d-9e8a-000000007385,Staff device,Yes
G-PC-056,MDM,Corporate,Compliant,Windows,10.0.26100.1742,aisha.patel@example-care.org,Aisha Patel,10.26.10.200,30:f6:04:20:e0:a0,2026-08-30T03:42:17Z,D1KSZ51056,Dell Inc.,OptiPlex 7010,a001056-3f2b-4c1d-9e8a-000000007392,Staff device,Yes
G-PC-057,MDM,Corporate,Compliant,Windows,10.0.26100.1742,michael.robinson@example-care.org,Michael Robinson,10.26.10.87,30:f6:04:21:e7:ad,2026-08-25T10:42:17Z,L1WVG81057,Microsoft Corporation,Surface Laptop 5,a001057-3f2b-4c1d-9e8a-000000007399,Staff device,Yes
G-PC-058,MDM,Corporate,Compliant,Windows,10.0.26100.1742,david.ellis@example-care.org,David Ellis,10.26.10.70,30:f6:04:22:ee:ba,2026-08-23T05:42:17Z,HP2YF1058,HP,EliteBook 640 G10,a001058-3f2b-4c1d-9e8a-000000007406,Staff device,Yes
HGV-PC-059,MDM,Corporate,Compliant,Windows,10.0.26100.1742,peter.walsh@example-care.org,Peter Walsh,10.27.10.154,30:f6:04:23:f5:c7,2026-08-20T13:42:17Z,H2846X1059,HP,ProDesk 400 G9,a001059-3f2b-4c1d-9e8a-000000007413,Staff device,Yes
HGV-PC-060,MDM,Corporate,Compliant,Windows,10.0.26100.1742,alexandra.doyle@example-care.org,Alexandra Doyle,10.27.10.73,30:f6:04:24:fc:d4,2026-08-20T19:42:17Z,H3NVMP1060,HP,EliteBook 640 G10,a001060-3f2b-4c1d-9e8a-000000007420,Staff device,Yes
HGV-PC-061,MDM,Corporate,Compliant,Windows,10.0.26100.1742,nia.doyle@example-care.org,Nia Doyle,10.27.10.59,30:f6:04:25:03:e1,2026-08-21T09:42:17Z,D4I3KC1061,Dell Inc.,Latitude 5440,a001061-3f2b-4c1d-9e8a-000000007427,Staff device,Yes
IH-PC-062,MDM,Corporate,Compliant,Windows,10.0.26100.1742,david.ellis@example-care.org,David Ellis,10.28.10.50,30:f6:04:26:0a:ee,2026-08-28T19:42:17Z,D3UMWF1062,Dell Inc.,Latitude 3540,a001062-3f2b-4c1d-9e8a-000000007434,Staff device,Yes
IH-PC-063,MDM,Corporate,Compliant,Windows,10.0.26100.1742,michael.robinson@example-care.org,Michael Robinson,10.28.10.48,30:f6:04:27:11:fb,2026-08-29T18:42:17Z,H49ADJ1063,HP,ProDesk 400 G9,a001063-3f2b-4c1d-9e8a-000000007441,Staff device,Yes
IH-PC-064,MDM,Corporate,Compliant,Windows,10.0.26100.1742,emma.featherstonehaugh@example-care.org,Emma Featherstonehaugh,10.28.10.150,30:f6:04:28:18:08,2026-08-25T13:42:17Z,H3YEB11064,HP,ProDesk 400 G9,a001064-3f2b-4c1d-9e8a-000000007448,Staff device,Yes
IH-PC-065,MDM,Corporate,Compliant,Windows,10.0.26100.1742,nia.robinson@example-care.org,Nia Robinson,10.28.10.227,30:f6:04:29:1f:15,2026-08-29T20:42:17Z,D5C82Q1065,Dell Inc.,OptiPlex 7010,a001065-3f2b-4c1d-9e8a-000000007455,Staff device,Yes
IH-PC-066,MDM,Corporate,Compliant,Windows,10.0.26100.1742,david.ellis@example-care.org,David Ellis,10.28.10.238,30:f6:04:2a:26:22,2026-08-21T14:42:17Z,D1IISF1066,Dell Inc.,OptiPlex 7010,a001066-3f2b-4c1d-9e8a-000000007462,Staff device,Yes
IH-PC-067,MDM,Corporate,Compliant,Windows,10.0.26100.1742,james.nowak@example-care.org,James Nowak,10.28.10.38,30:f6:04:2b:2d:2f,2026-08-22T08:42:17Z,L28PIG1067,Microsoft Corporation,Surface Laptop 5,a001067-3f2b-4c1d-9e8a-000000007469,Staff device,Yes
IH-PC-068,MDM,Corporate,Compliant,Windows,10.0.26100.1742,christopher.thompson@example-care.org,Christopher Thompson,10.28.10.216,30:f6:04:2c:34:3c,2026-08-22T05:42:17Z,H250GL1068,HP,ProDesk 400 G9,a001068-3f2b-4c1d-9e8a-000000007476,Staff device,Yes
IH-PC-069,MDM,Corporate,Compliant,Windows,10.0.26100.1742,alexandra.doyle@example-care.org,Alexandra Doyle,10.28.10.174,30:f6:04:2d:3b:49,2026-08-29T14:42:17Z,L4VJ0X1069,Microsoft Corporation,Surface Laptop 5,a001069-3f2b-4c1d-9e8a-000000007483,Staff device,Yes
IH-PC-070,MDM,Corporate,Compliant,Windows,10.0.26100.1742,daniel.quinn@example-care.org,Daniel Quinn,10.28.10.96,30:f6:04:2e:42:56,2026-08-30T17:42:17Z,L4P0OP1070,LENOVO,ThinkPad L14 Gen 4,a001070-3f2b-4c1d-9e8a-000000007490,Staff device,Yes
IH-PC-071,MDM,Corporate,Compliant,Windows,10.0.26100.1742,fatima.thompson@example-care.org,Fatima Thompson,10.28.10.192,30:f6:04:2f:49:63,2026-08-21T17:42:17Z,D3Y0Z91071,Dell Inc.,OptiPlex 7010,a001071-3f2b-4c1d-9e8a-000000007497,Staff device,Yes
JC-PC-072,MDM,Corporate,Compliant,Windows,10.0.26100.1742,daniel.frost@example-care.org,Daniel Frost,10.29.10.149,30:f6:04:30:50:70,2026-08-24T07:42:17Z,L2XRF51072,LENOVO,ThinkPad L14 Gen 4,a001072-3f2b-4c1d-9e8a-000000007504,Staff device,Yes
JC-PC-073,MDM,Corporate,Compliant,Windows,10.0.26100.1742,david.ellis@example-care.org,David Ellis,10.29.10.168,30:f6:04:31:57:7d,2026-08-22T04:42:17Z,D5WNUD1073,Dell Inc.,Latitude 5440,a001073-3f2b-4c1d-9e8a-000000007511,Staff device,Yes
JC-PC-074,MDM,Corporate,Compliant,Windows,10.0.26100.1742,hannah.patel@example-care.org,Hannah Patel,10.29.10.174,30:f6:04:32:5e:8a,2026-08-26T06:42:17Z,L47IBT1074,Microsoft Corporation,Surface Laptop 5,a001074-3f2b-4c1d-9e8a-000000007518,Staff device,Yes
JC-PC-075,MDM,Corporate,Compliant,Windows,10.0.26100.1742,michael.mensah@example-care.org,Michael Mensah,10.29.10.42,30:f6:04:33:65:97,2026-08-21T10:42:17Z,D1GJTO1075,Dell Inc.,Latitude 5440,a001075-3f2b-4c1d-9e8a-000000007525,Staff device,Yes
JC-PC-076,MDM,Corporate,Compliant,Windows,10.0.26100.1742,liam.mensah@example-care.org,Liam Mensah,10.29.10.168,30:f6:04:34:6c:a4,2026-08-23T03:42:17Z,L4UCVI1076,Microsoft Corporation,Surface Laptop 5,a001076-3f2b-4c1d-9e8a-000000007532,Staff device,Yes
JC-PC-077,MDM,Corporate,Compliant,Windows,10.0.26100.1742,fatima.chapman@example-care.org,Fatima Chapman,10.29.10.46,30:f6:04:35:73:b1,2026-08-21T11:42:17Z,H393TC1077,HP,ProDesk 400 G9,a001077-3f2b-4c1d-9e8a-000000007539,Staff device,Yes
JC-PC-078,MDM,Corporate,Compliant,Windows,10.0.26100.1742,david.kaur@example-care.org,David Kaur,10.29.10.194,30:f6:04:36:7a:be,2026-08-20T11:42:17Z,HVZ6Z1078,HP,EliteBook 640 G10,a001078-3f2b-4c1d-9e8a-000000007546,Staff device,Yes
JC-PC-079,MDM,Corporate,Compliant,Windows,10.0.26100.1742,alexandra.doyle@example-care.org,Alexandra Doyle,10.29.10.164,30:f6:04:37:81:cb,2026-09-01T03:42:17Z,LWGK71079,LENOVO,ThinkPad L14 Gen 4,a001079-3f2b-4c1d-9e8a-000000007553,Staff device,Yes
KL-PC-080,MDM,Corporate,Compliant,Windows,10.0.26100.1742,liam.mensah@example-care.org,Liam Mensah,192.168.0.28,30:f6:04:38:88:d8,2026-08-31T15:42:17Z,H44UPP1080,HP,EliteBook 640 G10,a001080-3f2b-4c1d-9e8a-000000007560,Staff device,Yes
KL-PC-081,MDM,Corporate,Compliant,Windows,10.0.26100.1742,tomasz.mensah@example-care.org,Tomasz Mensah,192.168.0.35,30:f6:04:39:8f:e5,2026-09-01T06:42:17Z,H5I5RZ1081,HP,EliteBook 640 G10,a001081-3f2b-4c1d-9e8a-000000007567,Staff device,Yes
KL-PC-082,MDM,Corporate,Compliant,Windows,10.0.26100.1742,leah.ahmed@example-care.org,Leah Ahmed,192.168.1.79,30:f6:04:3a:96:f2,2026-08-26T16:42:17Z,H1R84B1082,HP,ProDesk 400 G9,a001082-3f2b-4c1d-9e8a-000000007574,Staff device,Yes
KL-PC-083,MDM,Corporate,Compliant,Windows,10.0.26100.1742,david.ellis@example-care.org,David Ellis,192.168.50.49,30:f6:04:3b:9d:ff,2026-08-21T19:42:17Z,DU3191083,Dell Inc.,Latitude 5440,a001083-3f2b-4c1d-9e8a-000000007581,Staff device,Yes
HO-PC-084,MDM,Corporate,Compliant,Windows,10.0.26100.1742,christopher.kaur@example-care.org,Christopher Kaur,192.168.1.114,30:f6:04:3c:a4:0c,2026-08-29T19:42:17Z,D5QWC41084,Dell Inc.,OptiPlex 7010,a001084-3f2b-4c1d-9e8a-000000007588,Staff device,Yes
HO-PC-085,MDM,Corporate,Compliant,Windows,10.0.26100.1742,callum.walsh@example-care.org,Callum Walsh,192.168.1.37,30:f6:04:3d:ab:19,2026-08-21T05:42:17Z,D3LYM41085,Dell Inc.,Latitude 5440,a001085-3f2b-4c1d-9e8a-000000007595,Staff device,Yes
HO-PC-086,MDM,Corporate,Compliant,Windows,10.0.26100.1742,peter.mensah@example-care.org,Peter Mensah,192.168.1.109,30:f6:04:3e:b2:26,2026-08-27T03:42:17Z,L36U0E1086,LENOVO,ThinkPad L14 Gen 4,a001086-3f2b-4c1d-9e8a-000000007602,Staff device,Yes
HO-PC-087,MDM,Corporate,Compliant,Windows,10.0.26100.1742,rachel.sinclair@example-care.org,Rachel Sinclair,192.168.1.35,30:f6:04:3f:b9:33,2026-08-31T08:42:17Z,L5R18C1087,Microsoft Corporation,Surface Laptop 5,a001087-3f2b-4c1d-9e8a-000000007609,Staff device,Yes
HO-PC-088,MDM,Corporate,Compliant,Windows,10.0.26100.1742,fatima.thompson@example-care.org,Fatima Thompson,192.168.50.55,30:f6:04:40:c0:40,2026-08-30T20:42:17Z,D51FDP1088,Dell Inc.,Latitude 5440,a001088-3f2b-4c1d-9e8a-000000007616,Staff device,Yes
